Família,Fabricante,Foto,Marca e Modelo,Toner,Rendimento,PPM,Papel,Voltagem,Funções,Resolução,Memória (padrão/max),HDD,Duplex,Cap. de Papel (padrão/max),Peças,Memória e Cartão SD,NDD,OBS
Multi Laser Mono A4,Brother,,Brother DCP B7520 DW,TNB021,2.6k,,A4,110v,"Impressão, Cópia,
Digitalização",2400 x 600 dpi,128MB,------------------,SIM,250,Fotocondutor DRB021,,,
Multi Laser Mono A4,Canon,,Canon MF445,CRG057H,10k,38,A4,110v,"Impressão, Cópia,
Digitalização e Fax",600 x 600 dpi,1GB,------------------,SIM,350/900,,,,
Multi Laser Mono A4,Brother,,Brother DPC B7535DW,TNB021,2.6k,36,A4,110v,"Impressão, Cópia,
Digitalização",2400 x 600 dpi,128MB,------------------,SIM,250,Fotocondutor DRB021,,,
Multi Laser Mono A4,Canon,,Canon IR 1643IF,T06,20k,43,A4,110v,"Impressão, Cópia,
Digitalização e Fax",600 x 600 dpi,1GB,------------------,SIM,650/2300,,,,
Multi Laser Mono A3,Ricoh,,Ricoh MP305,MP305 Ref: 842141,9k,30,A3,110v,"Impressão, Cópia,
Digitalização e Fax",600x600dpi,2GB,------------------,SIM,500,,,,
Multi Laser Mono A4,Ricoh,,Ricoh IM430F,IM 430 Ref: 418126,17.4k,45,A4,110v,"Impressão, Cópia,
Digitalização e Fax",1200x1200dpi,2GB,------------------,SIM,500/2100,,,,
Multi Laser Mono A3,Kyocera,,Kyocera Taskalfa 5004/6004i,TK-6347K,40k,50/60,A3,110v,"Impressão, Cópia,
Digitalização e Fax (opc.)","4800 x 1200 dpi*
","320GB Padrão, 1TB Opc.",------------------,SIM,1150/7150,DF-7150 | DP-7170 | JS-7110 | PH-7A | WT8500,,,
Imp Laser Mono A4,Kyocera,,"Kyocera Ecosys
P2040dw",TK-1162,7.2k,40,A4,110v,Impressão/Cópia,600 x 600 dpi,256MB/256MB ,------------------,SIM,350/850,,,NÃO ACEITA SOLUÇÃO EMBARCADA,
Imp Laser Mono A4,Ricoh,,Ricoh P311,3710 Ref: 408284,6.4k,32,A4,110v,Impressão/Cópia,1200 x 1200 dpi,128MB,------------------,NÃO,300/550,,,,
Imp Laser Mono A4,Ricoh,,Ricoh SP 377 DN,377 Ref: 408161,6.4k,30,A4,110v,Impressão/Cópia,1200 x 1200 dpi,128MB,------------------,SIM,250/300,,,,
Imp Laser Mono A4,Ricoh,,Ricoh SP 3710DN,3710 Ref: 408284,6.4k,34,A4,110v,Impressão/Cópia,1200 x 1200 dpi,128MB,------------------,SIM,250,,,,
Imp Laser Mono A4,Kyocera,,Kyocera P3145DN,TK-3182,21k,45,A4,110v,Impressão/Cópia,600 x 600 dpi,512MB/2.5GB,------------------,SIM,250,,,NÃO ACEITA SOLUÇÃO EMBARCADA,
Imp Laser Mono A4,Kyocera,,Kyocera PA4500x,TK-3402,12.5K,45,A4,110v,Impressão/Cópia,1200 x 1200 dpi,512MB/2.5GB,------------------,SIM,250/2000,Kit de Manutenção: MK-3372 ,,NÃO ACEITA SOLUÇÃO EMBARCADA,EQUIVALENTE A P3155DN
Imp Laser Mono A4,Kyocera,,Kyocera PA5500x,TK-3432,21K,55,A4,110v,Impressão/Cópia,1200 x 1200 dpi,512MB/2.5GB,------------------,SIM,250/2000,Kit de Manutenção: MK-3382,,NÃO ACEITA SOLUÇÃO EMBARCADA,EQUIVALENTE A P3155DN
Multi Laser Color A4,Xerox,,Xerox Versalink C415,006R04764 006R04765 006R04766 006R04767,10.5K/7K,40,A4,110v,,,500GB,Opcional (SSD),SIM,251/1451,,-----------,,
Multi Laser Color A4,Kyocera,,Kyocera Ecosys M6635cidn,TK-5282 BYCM,11k,35,A4,110v,"Impressão, Cópia,
Digitalização e Fax","9600 x 600 dpi
1200 x 1200 dpi",1GB/3GB,Opcional (SSD),SIM,350/1850,,CARTÃO SD,,
Multi Laser Color A4,Kyocera,,Kyocera Ecosys M6235cidn,TK-5282 BYCM,11k,35,A4,110v,"Impressão, Cópia,
Digitalização ","9600 x 600 dpi
1200 x 1200 dpi",1GB/3GB,Opcional (SSD),SIM,350/1850,,CARTÃO SD,,
Multi Laser Color A4,Kyocera,,Kyocera Ecosys M6230cidn,TK-5272 BYCM,6k,30,A4,110v,"Impressão, Cópia,
Digitalização e Fax","9600 x 600 dpi
1200 x 1200 dpi",1GB/3GB,Opcional (SSD),SIM,350/1850,,CARTÃO SD,,
Multi Laser Color A4,Kyocera,,Kyocera Ecosys M5526cdw,TK-5242 BYCM,4k,26,A4,110v,"Impressão, Cópia,
Digitalização e Fax",1200 x 1200 dpi,512MB/1.5GB,------------------,SIM,300/550,,,NÃO ACEITA SOLUÇÃO EMBARCADA,
Multi Laser Color A4,Kyocera,,Kyocera Ecosys MA2100cfx,TK-5432 BYCM               TK-5442 BYCM,4k,21,A4,110v,"Impressão, Cópia,
Digitalização e Fax","9600 x 600 dpi
1200 x 1200 dpi",512MB/1.5GB,------------------,SIM,300/550,,,NÃO ACEITA SOLUÇÃO EMBARCADA,
Multi Laser Color A3,Kyocera,,Kyocera TASKalfa 358ci,TK-5207 BYCM,12k,35,A3,110v,"Impressão, Cópia,
Digitalização e Fax (opc.)","600 x 600 dpi
1200 x 1200dpi**",4GB,320GB Padrão,SIM,600/3100,,,,
Multi Laser Color A4,Brother,,Brother MFC-L8610,TN419                              TN439,9k,31,A4,110v,"Impressão, Cópia,
Digitalização e Fax",2400 x 600 dpi,512MB,------------------,SIM,250/300,,,,
Multi Laser Color A3,Ricoh,,Ricoh MPC2004,"Ref: 841918, 841919, 841920,841921 BYCM",15k,20,A3,110v,"Impressão, Cópia,
Digitalização e Fax",1200x1200 dpi,2 GB/4GB,250GB HDD,SIM,1100/2300,,,,
